image_id,mask_id,step,token_group,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
10363,2,5,cat + standing,0.1009713052310817,0.065892745232624,0.1043233077043702,0.1596725735649555,0.7525083612040134,0.178051696873905
10363,2,5,standing,0.0589008101598423,0.0107380648817112,0.0782039866970683,0.1677258663057415,0.7391304347826086,0.1091069596545224
,,,,,,,,,
10363,2_cat,4,cat,0.5906104672621244,0.663002404671934,0.3969840371592752,0.0670128510426043,0.8762541806020067,0.7056205107939544
,,,,,,,,,
10363,2_cat,5,standing,0.0589008101598423,0.0107380648817112,0.0782039866970683,0.1677258663057415,0.7391304347826086,0.1091069596545224
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
10363,3,11,cat + on + car,0.3488085683447264,0.1480502503178354,0.8646820746282722,0.0069536261821518,0.745819397993311,0.4753180157237731
10363,3,11,car,0.4110899719810439,0.1534683145645374,0.8741162063725643,0.0065866720105744,0.705685618729097,0.5195319160697266
,,,,,,,,,
10363,3_cat_first,4,cat,0.5906104672621244,0.663002404671934,0.3969840371592752,0.0670128510426043,0.8762541806020067,0.7056205107939544
,,,,,,,,,
10363,3_car_second,11,car,0.4627667465702618,0.1744177455238032,0.8604368674957421,0.0072265856694624,0.705685618729097,0.558975012724664
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
10363,1,11,car + black,0.4627667465702618,0.1744177455238032,0.8604368674957421,0.0072265856694624,0.705685618729097,0.558975012724664
10363,1,11,car,0.4627667465702618,0.1744177455238032,0.8604368674957421,0.0072265856694624,0.705685618729097,0.558975012724664
,,,,,,,,,
10363,1_car,11,car,0.4627667465702618,0.1744177455238032,0.8604368674957421,0.0072265856694624,0.705685618729097,0.558975012724664
,,,,,,,,,
10363,1_car,11,car,0.4627667465702618,0.1744177455238032,0.8604368674957421,0.0072265856694624,0.705685618729097,0.558975012724664
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
10764,2,10,catcher + crouched,0.1273677335075114,0.1239859942150018,0.2563708711715388,0.1101155418546459,0.9391304347826088,0.2243133996900512
10764,2,10,ched,0.1266031478250867,0.1278085916258836,0.2528924380040001,0.1071351637998706,0.9333333333333332,0.2229623002331969
,,,,,,,,,
10764,2_catcher,5,catcher,0.0880929447159692,0.0518770013033613,0.1369916308429319,0.1154831148507534,0.7884057971014493,0.1584782384371641
,,,,,,,,,
10764,2_catcher,8,c,0.1406371406371406,0.1274205163110492,0.1766662986624439,0.1030827245633197,0.6463768115942029,0.231011372286419
10764,2_catcher,9,rou,0.0,0.0,0.125075165571834,0.2044142217905461,0.9710144927536232,0.0
10764,2_catcher,10,ched,0.1266031478250867,0.1278085916258836,0.2528924380040001,0.1071351637998706,0.9333333333333332,0.2229623002331969
